,populacao,obitos,casos,obitos_relativo,casos_relativo
Paranavaí,87926,151,6214,171.73532288515344,7067.306598730751
Foz do Iguaçu,265001,750,34638,283.0177999328304,13070.89407209784
Jardim Olinda,1435,1,39,69.68641114982579,2717.7700348432054
Ibaiti,30945,84,2249,271.4493456131847,7267.733074810147
Piraí do Sul,25459,38,1867,149.25959385678934,7333.359519226992
São João do Caiuá,5933,6,315,101.12927692566998,5309.287038597674
Agudos do Sul,9716,14,448,144.0922190201729,4610.951008645533
Coronel Vivida,22071,62,2517,280.9116034615559,11404.10493407639
Marquinho,4754,4,144,84.13967185527976,3029.0281867900717
Japira,4898,7,387,142.91547570436913,7901.184156798693
Anahy,2877,5,282,173.79214459506431,9801.876955161626
Guaraci,5577,8,485,143.44629729245113,8696.43177335485
Cruzmaltina,3250,5,186,153.84615384615384,5723.076923076923
Jaguapitã,13823,39,1674,282.1384648773783,12110.251030890544
Maringá,442009,1003,43524,226.91845641152102,9846.858321889373
Peabiru,13749,17,870,123.6453560258928,6327.732926030984
Renascença,6948,15,560,215.88946459412782,8059.873344847438
Santo Antônio do Sudoeste,20120,13,1226,64.61232604373757,6093.439363817098
Três Barras do Paraná,12085,29,1043,239.9669011170873,8630.533719486968
Diamante do Sul,3531,9,299,254.88530161427357,8467.856131407534
Nova Cantu,6828,4,278,58.58230814294083,4071.470415934388
Balsa Nova,12738,23,1119,180.56209766054326,8784.738577484692
Ourizona,3469,4,204,115.30700490054771,5880.657249927933
Vitorino,6800,16,570,235.2941176470588,8382.35294117647
Carlópolis,14123,11,488,77.88713446151668,3455.356510656376
Salto do Itararé,4947,16,539,323.42834040832827,10895.492217505558
Santa Inês,1861,1,134,53.73455131649651,7200.429876410532
Araruna,13797,19,992,137.7110966152062,7189.968833804451
Medianeira,46069,67,5096,145.4340228787254,11061.668367014696
São Jorge do Ivaí,5663,7,493,123.60939431396787,8705.633056683737
Guarapuava,180368,274,13365,151.91164729885568,7409.850971347468
Jataizinho,12561,27,1456,214.9510389300215,11591.43380304116
Arapuã,3554,5,175,140.68655036578502,4924.029262802476
Irati,60334,64,4242,106.07617595385686,7030.861537441575
Espigão Alto do Iguaçu,4448,5,252,112.41007194244604,5665.46762589928
Nova Esperança do Sudoeste,5162,9,512,174.35102673382409,9918.636187524215
Loanda,23136,25,1614,108.0567081604426,6976.1410788381745
Prado Ferreira,3765,10,131,265.6042496679947,3479.4156706507306
Antonina,19792,50,2055,252.62732417138238,10382.983023443816
Jaguariaíva,34709,78,2687,224.72557549915007,7741.507966233542
Assaí,15727,35,1105,222.54721180136073,7026.133401157245
Primeiro de Maio,11200,11,381,98.21428571428571,3401.785714285714
Icaraíma,8900,11,604,123.59550561797752,6786.516853932584
Pinhão,31922,34,1353,106.50961719190526,4238.456237077878
Ipiranga,15175,9,789,59.308072487644154,5199.341021416804
Mangueirinha,17168,21,1256,122.32059645852749,7315.936626281454
Sengés,19398,22,1265,113.41375399525724,6521.290854727292
Jacarezinho,38834,58,4273,149.35365916464954,11003.244579492197
Diamante do Norte,5517,8,193,145.0063440275512,3498.278049664673
Indianópolis,4647,3,596,64.55777921239509,12825.478803529159
Enéas Marques,6191,15,502,242.28719108383137,8108.544661605556
Palotina,31876,58,3767,181.95507591918684,11817.66846530305
Rondon,9791,7,700,71.49422939434174,7149.422939434175
Leópolis,3956,8,333,202.22446916076845,8417.593528816988
Verê,8032,14,863,174.30278884462152,10744.521912350598
Floresta,6501,12,847,184.58698661744347,13028.764805414552
Clevelândia,17302,71,1632,410.3571841405618,9432.435556583054
Mato Rico,3645,2,62,54.869684499314126,1700.960219478738
Bom Sucesso do Sul,3355,6,297,178.83755588673623,8852.459016393443
Fênix,4740,2,275,42.19409282700422,5801.68776371308
Wenceslau Braz,19054,59,1387,309.6462685000525,7279.311430670726
Nova Santa Bárbara,4104,12,414,292.39766081871346,10087.719298245614
Curiúva,14939,15,983,100.40832719726889,6580.092375661022
Manoel Ribas,13532,20,1047,147.79781259237365,7737.21548921076
Miraselva,1934,2,144,103.41261633919338,7445.708376421923
Adrianópolis,6582,21,1055,319.05195989061076,16028.562746885445
Planaltina do Paraná,4194,5,258,119.21793037672866,6151.645207439199
Itambé,6182,28,642,452.9278550630864,10384.988676803623
Céu Azul,11689,15,810,128.32577637094704,6929.5919240311405
Santo Antônio do Caiuá,2707,5,151,184.7063169560399,5578.130772072405
Marumbi,4726,3,343,63.47862886161659,7257.723233178163
Floraí,5211,8,328,153.5213970447131,6294.377278833237
Porto Barreiro,3536,1,142,28.28054298642534,4015.8371040723982
Cambira,7894,13,630,164.6820369901191,7980.744869521155
Boa Ventura de São Roque,6359,5,316,78.62871520679352,4969.334801069351
